pid,sessionId,status,trialId,description,instruction,answer,correctAnswer,startTime,endTime,duration,studyId,measure
Zo30OEhz9EWdB6mLLeJThgof33q1,8b2f7b14-d0e4-47f1-b215-5be3b52fc901,completed,introduction,,,5ec195df3f2aec276ff0bf33,,"Tue, 07 Nov 2023 18:53:25 GMT","Tue, 07 Nov 2023 18:53:36 GMT",10802,vlat-mini-randomized,prolificId
Zo30OEhz9EWdB6mLLeJThgof33q1,8b2f7b14-d0e4-47f1-b215-5be3b52fc901,completed,consent,,,lk,,"Tue, 07 Nov 2023 18:53:25 GMT","Tue, 07 Nov 2023 18:53:50 GMT",24929,vlat-mini-randomized,userInitials
Zo30OEhz9EWdB6mLLeJThgof33q1,8b2f7b14-d0e4-47f1-b215-5be3b52fc901,completed,survey,,,no,,"Tue, 07 Nov 2023 18:53:25 GMT","Tue, 07 Nov 2023 19:00:16 GMT",410589,vlat-mini-randomized,surveyExperience
Zo30OEhz9EWdB6mLLeJThgof33q1,8b2f7b14-d0e4-47f1-b215-5be3b52fc901,completed,survey,,,no,,"Tue, 07 Nov 2023 18:53:25 GMT","Tue, 07 Nov 2023 19:00:16 GMT",410589,vlat-mini-randomized,surveyOtherIssues
Zo30OEhz9EWdB6mLLeJThgof33q1,8b2f7b14-d0e4-47f1-b215-5be3b52fc901,completed,survey,,,no,,"Tue, 07 Nov 2023 18:53:25 GMT","Tue, 07 Nov 2023 19:00:16 GMT",410589,vlat-mini-randomized,surveyRenderIssues
Zo30OEhz9EWdB6mLLeJThgof33q1,8b2f7b14-d0e4-47f1-b215-5be3b52fc901,completed,q1,,eBay is nested in the Software category.,False,False,"Tue, 07 Nov 2023 18:53:25 GMT","Tue, 07 Nov 2023 18:57:31 GMT",245812,vlat-mini-randomized,res1
Zo30OEhz9EWdB6mLLeJThgof33q1,8b2f7b14-d0e4-47f1-b215-5be3b52fc901,completed,q2,,Which country has the lowest proportion of Gold medals?,Great Britain,Great Britain,"Tue, 07 Nov 2023 18:53:25 GMT","Tue, 07 Nov 2023 18:59:28 GMT",362962,vlat-mini-randomized,res2
Zo30OEhz9EWdB6mLLeJThgof33q1,8b2f7b14-d0e4-47f1-b215-5be3b52fc901,completed,q3,,What distance have customers traveled in the taxi the most?,30 - 40km,30 - 40km,"Tue, 07 Nov 2023 18:53:25 GMT","Tue, 07 Nov 2023 18:58:01 GMT",276389,vlat-mini-randomized,res3
Zo30OEhz9EWdB6mLLeJThgof33q1,8b2f7b14-d0e4-47f1-b215-5be3b52fc901,completed,q4,,"In 2020, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI)?",True,True,"Tue, 07 Nov 2023 18:53:25 GMT","Tue, 07 Nov 2023 18:54:52 GMT",87251,vlat-mini-randomized,res4
Zo30OEhz9EWdB6mLLeJThgof33q1,8b2f7b14-d0e4-47f1-b215-5be3b52fc901,completed,q5,,What is the approximate global smartphone market share of Samsung?,17.6%,17.6%,"Tue, 07 Nov 2023 18:53:25 GMT","Tue, 07 Nov 2023 18:56:32 GMT",186781,vlat-mini-randomized,res5
